ITID,Village,PMR,District,BirthPeriod,agecohort,Csex,order,AgeStopFeed,HSCAT,mother,kids,father,time,status
4000002431,14,Patri,4,>=1990,20-25,daughter,2nd,24,Small,0.33,0.5,0.333333333,24,0
4000002449,14,Patri,4,1980-1989,20-25,son,1st,0.48,Small,0.25,0.5,0.25,0.48,1
4000002464,14,Matri,4,>=1990,20-25,son,1st,1,Small,0.33,0.25,0.166666667,1,1
4000002464,14,Matri,4,>=1990,20-25,son,2nd,12,Small,0.33,0.42,0.166666667,12,1
4000002470,14,Patri,4,<1980,20-25,son,2nd,4,Big,0.15,0.28,0.3,4,1
4000002484,14,Patri,4,1980-1989,20-25,daughter,2nd,12,Big,0.29,0.43,0.428571429,12,1
4000002494,14,Patri,4,>=1990,<20,son,1st,1,Big,0.25,0.42,0.416666667,1,1
4000002494,14,Patri,4,>=1990,<20,daughter,2nd,1,Big,0.25,0.42,0.416666667,1,0
4000002494,14,Patri,4,>=1990,20-25,daughter,2nd,0.65,Big,0.25,0.42,0.416666667,0.65,0
4000002499,14,Patri,4,1980-1989,20-25,son,2nd,60,Medium,0.38,0.5,0.375,24,0
4000002499,14,Patri,4,1980-1989,20-25,son,2nd,24,Medium,0.38,0.5,0.375,24,0
4000002525,14,Matri,4,>=1990,<20,son,1st,60,Medium,0.2,0.2,0.166666667,24,0
4000002525,14,Matri,4,>=1990,20-25,daughter,2nd,36,Medium,0.2,0.2,0.166666667,24,0
4000002561,14,Patri,4,>=1990,<20,son,1st,60,Small,0.33,0.5,0.333333333,24,0
4000002561,14,Patri,4,>=1990,20-25,daughter,2nd,0,Small,0.33,0.5,0.333333333,0,1
4000002577,14,Neo,4,>=1990,20-25,son,1st,3,Big,0.17,0.17,0.416666667,3,1
4000002577,14,Neo,4,>=1990,20-25,son,2nd,3,Big,0.17,0.17,0.416666667,3,1
4000002577,14,Neo,4,>=1990,20-25,son,2nd,24,Big,0.17,0.17,0.416666667,24,0
4000002679,14,Patri,4,>=1990,20-25,son,1st,4,Medium,0.14,0.3,0.321428571,4,1
4000002679,14,Patri,4,>=1990,20-25,daughter,2nd,0,Medium,0.14,0.3,0.321428571,0,1
4000002687,14,Patri,4,>=1990,20-25,daughter,1st,0,Medium,0.13,0.13,0.321428571,0,1
4000002693,14,Patri,4,1980-1989,20-25,daughter,2nd,11,Small,0.33,0.5,0.333333333,11,1
4000002693,14,Patri,4,1980-1989,20-25,daughter,1st,12,Small,0.33,0.5,0.333333333,12,1
4000002702,14,Patri,4,1980-1989,20-25,son,1st,0,Big,0.25,0.38,0.333333333,0,1
4000002702,14,Patri,4,1980-1989,20-25,son,2nd,0,Big,0.25,0.38,0.333333333,0,1
4000002702,14,Patri,4,1980-1989,20-25,daughter,2nd,0,Big,0.25,0.38,0.333333333,0,1
4000002734,14,Patri,4,>=1990,<20,son,1st,1,Small,0.25,0.5,0.39,1,0
4000002788,14,Patri,4,>=1990,20-25,son,1st,6,Medium,0.07,0.3,0.392857143,6,1
4000002811,14,Patri,4,>=1990,<20,daughter,1st,60,Small,0.33,0.5,0.333333333,24,0
4000002811,14,Patri,4,>=1990,20-25,son,2nd,48,Small,0.33,0.5,0.333333333,24,0
4000002863,14,Matri,4,1980-1989,>25,daughter,2nd,60,Small,0.33,0.5,0.333333333,24,0
4000002902,14,Patri,4,1980-1989,<20,daughter,2nd,48,Big,0.21,0.36,0.357142857,24,0
4000002902,14,Patri,4,1980-1989,20-25,daughter,2nd,36,Big,0.21,0.36,0.357142857,24,0
4000002923,14,Matri,4,1980-1989,20-25,son,2nd,12,Medium,0.5,0.5,0.392857143,12,1
4000002923,14,Matri,4,1980-1989,>25,son,2nd,6,Medium,0.5,0.5,0.392857143,6,1
4000003040,20,Patri,4,1980-1989,>25,son,1st,36,Small,0.25,0.25,0.25,24,0
4000003078,20,Patri,4,1980-1989,>25,son,1st,0.7,Medium,0.38,0.25,0.25,0.7,1
4000003078,20,Patri,4,1980-1989,>25,son,2nd,0.9,Medium,0.38,0.44,0.25,0.9,1
4000003078,20,Patri,4,1980-1989,>25,son,2nd,0.25,Medium,0.38,0.44,0.25,0.25,1
4000003086,20,Patri,4,1980-1989,20-25,son,1st,2,Big,0.08,0.29,0.333333333,2,1
4000003143,20,Patri,4,1980-1989,>25,daughter,1st,45,Small,0.25,0.25,0.333333333,24,0
4000003151,20,Neo,4,>=1990,20-25,son,2nd,36,Medium,0.38,0.5,0.375,24,0
4000003151,20,Neo,4,>=1990,20-25,son,2nd,24,Medium,0.1,0.33,0.375,24,0
4000003158,20,Patri,4,>=1990,20-25,son,1st,6,Medium,0.1,0.33,0.35,6,0
4000003253,20,Matri,4,1980-1989,20-25,daughter,1st,36,Medium,0.33,0.33,0.166666667,24,0
4000003253,20,Matri,4,1980-1989,20-25,daughter,2nd,0.45,Medium,0.33,0.33,0.166666667,0.45,0
4000003334,20,Matri,4,1980-1989,>25,daughter,2nd,0,Medium,0.31,0.34,0.125,0,1
4000003360,20,Matri,4,1980-1989,20-25,son,1st,28,Medium,0.42,0.46,0.333333333,24,0
4000003387,20,Patri,4,1980-1989,>25,daughter,2nd,0,Medium,0.1,0.35,0.4,0,1
4000003387,20,Patri,4,1980-1989,<20,son,2nd,0,Medium,0.33,0.5,0.4,0,1
4000003406,20,Patri,4,<1980,>25,daughter,2nd,40,Small,0.33,0.5,0.333333333,24,0
4000003406,20,Patri,4,<1980,<20,son,2nd,24,Small,0.25,0.5,0.333333333,24,0
4000003450,20,Patri,4,1980-1989,20-25,daughter,1st,12,Small,0.25,0.5,0.25,12,1
4000003461,20,Matri,4,1980-1989,20-25,son,1st,48,Small,0.33,0.5,0.333333333,24,0
4000003461,20,Matri,4,1980-1989,20-25,son,2nd,24,Small,0.33,0.5,0.333333333,24,0
4000003523,20,Patri,4,1980-1989,20-25,daughter,2nd,45,Medium,0.25,0.44,0.375,24,0
4000003523,20,Patri,4,1980-1989,>25,son,2nd,24,Medium,0.25,0.44,0.375,24,0
4000003539,20,Patri,4,1980-1989,20-25,daughter,1st,48,Medium,0.21,0.38,0.392857143,24,0
4000003539,20,Patri,4,1980-1989,20-25,daughter,2nd,24,Medium,0.21,0.38,0.392857143,24,0
4000003539,20,Patri,4,1980-1989,>25,son,2nd,6,Medium,0.21,0.38,0.392857143,6,1
4000003548,20,Matri,4,1980-1989,20-25,son,2nd,36,Medium,0.5,0.38,0.333333333,24,0
4000003548,20,Matri,4,1980-1989,20-25,daughter,2nd,6,Medium,0.5,0.38,0.392857143,6,1
4000003565,20,Patri,4,1980-1989,>25,son,1st,24,Small,0.5,0.5,0.428571429,24,0
4000003593,20,Patri,4,1980-1989,>25,son,2nd,9,Big,0.21,0.39,0.428571429,9,1
4000003593,20,Patri,4,1980-1989,>25,daughter,2nd,36,Big,0.21,0.39,0.428571429,24,0
4000003605,20,Patri,4,>=1990,<20,daughter,1st,36,Small,0.25,0.5,0.25,24,0
4000003722,20,Patri,4,>=1990,20-25,daughter,1st,0,Big,0.08,0.33,0.392857143,0,1
4000003760,20,Matri,4,>=1990,20-25,son,1st,0,Medium,0.38,0.25,0,0,1
4000007084,20,Patri,4,1980-1989,20-25,daughter,2nd,72,Medium,0.38,0.5,0.375,24,0
4000007084,20,Patri,4,1980-1989,>25,daughter,2nd,48,Medium,0.38,0.5,0.375,24,0
4000007134,10,Patri,4,>=1990,20-25,son,1st,0.1,Big,0.13,0.34,0.4375,0.1,1
4000007134,10,Patri,4,>=1990,20-25,son,2nd,0.097,Big,0.13,0.34,0.4375,0.097,0
4000007188,10,Matri,4,>=1990,20-25,son,1st,45,Medium,0.3,0.25,0,24,0
4000007188,10,Matri,4,>=1990,20-25,son,2nd,1,Medium,0.3,0.25,0.4375,1,1
4000007209,10,Matri,4,1980-1989,>25,son,1st,36,Small,0.33,0.5,0.333333333,24,0
4000007209,10,Matri,4,1980-1989,>25,daughter,2nd,12,Small,0.33,0.5,0.333333333,12,1
4000007258,10,Patri,4,>=1990,<20,son,1st,3,Big,0.17,0.33,0.333333333,3,1
4000007258,10,Patri,4,>=1990,20-25,daughter,2nd,5,Big,0.17,0.33,0.333333333,5,1
4000007397,10,Matri,4,>=1990,20-25,son,1st,6,Small,0.33,0.42,0.333333333,6,1
4000007404,10,Patri,4,1980-1989,20-25,son,1st,23,Small,0.33,0.5,0.333333333,23,1
4000007404,10,Patri,4,1980-1989,20-25,daughter,2nd,12,Small,0.33,0.5,0.333333333,12,1
4000007429,10,Patri,4,>=1990,<20,son,1st,0.22,Small,0.33,0.5,0.333333333,0.22,0
4000007450,10,Patri,4,>=1990,20-25,daughter,1st,12,Medium,0.25,0.38,0.25,12,1
4000007450,10,Patri,4,>=1990,20-25,daughter,2nd,6,Medium,0.25,0.38,0.25,6,1
4000007462,10,Matri,4,>=1990,20-25,son,1st,35,Small,0.33,0.5,0.333333333,24,0
4000007462,10,Matri,4,>=1990,20-25,daughter,2nd,5,Small,0.33,0.5,0.333333333,5,0
5000000041,19,Matri,5,1980-1989,>25,son,1st,8,Big,0.42,0.38,0.166666667,8,1
5000000041,19,Matri,5,1980-1989,>25,son,2nd,8,Big,0.42,0.38,0.166666667,8,1
5000000056,19,Matri,5,>=1990,20-25,son,1st,7,Medium,0.38,0.31,0.125,7,1
5000000070,19,Matri,5,1980-1989,20-25,son,1st,12,Medium,0.36,0.32,0.142857143,12,1
5000000132,19,Matri,5,>=1990,20-25,son,1st,8,Medium,0.38,0.31,0.125,8,1
5000000132,19,Matri,5,>=1990,20-25,daughter,2nd,10,Medium,0.38,0.31,0.125,10,1
5000000145,19,Matri,5,>=1990,20-25,daughter,1st,10,Big,0.38,0.31,0.125,10,1
5000000173,13,Matri,5,>=1990,20-25,son,1st,10,Medium,0.42,0.38,0.166666667,10,1
5000000178,13,Matri,5,>=1990,20-25,daughter,1st,2,Medium,0.36,0.29,0.071428571,2,0
5000000414,22,Matri,5,>=1990,20-25,son,1st,11,Big,0.38,0.31,0.125,11,1
5000000414,22,Matri,5,>=1990,20-25,daughter,2nd,12,Big,0.38,0.31,0.125,12,1
5000000448,22,Matri,5,>=1990,>25,son,1st,3,Medium,0.4,0.35,0.1,3,0
5000000466,22,Patri,5,1980-1989,20-25,daughter,1st,9,Medium,0.2,0.4,0.4,9,1
5000000466,22,Patri,5,1980-1989,>25,son,2nd,7,Medium,0.2,0.4,0.4,7,1
5000000498,22,Matri,5,1980-1989,20-25,son,1st,8,Medium,0.4,0.4,0.2,8,1
5000000498,22,Matri,5,1980-1989,20-25,son,2nd,9,Medium,0.4,0.4,0.2,9,1
5000000504,22,Neo,5,>=1990,20-25,daughter,1st,6,Medium,0.38,0.38,0.125,6,1
5000000520,22,Neo,5,>=1990,20-25,daughter,1st,9,Medium,0.4,0.4,0.2,9,1
5000000520,22,Neo,5,>=1990,20-25,daughter,2nd,10,Medium,0.4,0.4,0.2,10,1
5000000558,22,Neo,5,>=1990,20-25,son,1st,6,Big,0.38,0.31,0.125,6,1
5000000558,22,Neo,5,>=1990,20-25,son,2nd,12,Big,0.38,0.31,0.125,12,1
5000000585,22,Matri,5,>=1990,20-25,daughter,1st,12,Medium,0.42,0.38,0.166666667,12,1
5000000585,22,Matri,5,>=1990,>25,son,2nd,11,Medium,0.42,0.38,0.166666667,11,1
5000000621,21,Patri,5,>=1990,20-25,son,1st,8,Big,0.1,0.26,0.325,8,1
5000000659,21,Neo,5,>=1990,<20,daughter,1st,12,Big,0.38,0.31,0.325,12,1
5000000659,21,Neo,5,>=1990,20-25,son,2nd,3,Big,0.38,0.31,0.325,3,0
5000000847,5,Patri,5,1980-1989,20-25,daughter,1st,8,Medium,0.25,0.44,0.375,8,1
5000000847,5,Patri,5,1980-1989,>25,daughter,2nd,2,Medium,0.25,0.44,0.375,2,1
5000000866,5,Matri,5,1980-1989,20-25,daughter,1st,7,Small,0.33,0.25,0,7,1
5000001029,7,Patri,5,1980-1989,20-25,son,1st,6,Medium,0.2,0.4,0.4,6,1
5000001029,7,Patri,5,1980-1989,>25,daughter,2nd,10,Medium,0.2,0.4,0.4,10,1
5000001173,23,Matri,5,>=1990,20-25,daughter,1st,9,Big,0.36,0.29,0.071428571,9,1
5000001177,23,Neo,5,>=1990,<20,daughter,1st,12,Medium,0.2,0.4,0.4,12,1
5000001177,23,Neo,5,>=1990,20-25,daughter,2nd,6,Medium,0.2,0.4,0.4,6,1
5000001210,23,Patri,5,>=1990,20-25,son,1st,2,Big,0.14,0.32,0.357142857,2,1
5000001216,23,Patri,5,1980-1989,20-25,daughter,1st,3,Medium,0.2,0.2,0.4,3,1
5000001265,23,Matri,5,>=1990,20-25,daughter,1st,1,Medium,0.4,0.35,0.1,1,1
5000001336,15,Neo,5,1980-1989,>25,son,1st,8,Medium,0.2,0.4,0.4,8,1
5000001588,15,Patri,5,1980-1989,20-25,son,2nd,6,Big,0.17,0.35,0.375,6,1
5000001588,15,Patri,5,1980-1989,20-25,daughter,2nd,6,Big,0.17,0.35,0.375,6,1
5000001613,15,Matri,5,1980-1989,20-25,daughter,1st,4,Small,0.33,0.5,0.333333333,4,1
5000001647,29,Neo,5,>=1990,<20,son,1st,3,Medium,0.38,0.31,0.125,3,1
5000001666,29,Patri,5,>=1990,<20,daughter,1st,9,Medium,0.2,0.4,0.4,9,1
5000001666,29,Patri,5,>=1990,<20,son,1st,9,Medium,0.2,0.4,0.4,9,1
5000001682,29,Matri,5,1980-1989,20-25,daughter,1st,12,Medium,0.4,0.4,0.2,12,1
5000001682,29,Matri,5,1980-1989,>25,son,2nd,12,Medium,0.4,0.4,0.2,12,1
5000001738,29,Patri,5,>=1990,<20,son,1st,9,Big,0.14,0.32,0.357142857,9,1
5000001738,29,Patri,5,>=1990,20-25,daughter,2nd,8,Big,0.14,0.32,0.357142857,8,1
5000001745,29,Neo,5,>=1990,<20,son,1st,8,Medium,0.2,0.4,0.4,8,1
5000001745,29,Neo,5,>=1990,20-25,daughter,2nd,7,Medium,0.2,0.4,0.4,7,1
5000001752,29,Neo,5,>=1990,20-25,son,1st,4,Medium,0.36,0.32,0.142857143,4,1
5000001830,16,Matri,5,>=1990,20-25,son,1st,9,Big,0.42,0.38,0.166666667,9,1
5000001830,16,Matri,5,>=1990,20-25,daughter,2nd,12,Big,0.42,0.38,0.166666667,12,1
5000001842,16,Matri,5,>=1990,>25,son,1st,8,Medium,0.36,0.29,0.4,8,1
5000001905,16,Neo,5,>=1990,20-25,daughter,1st,14,Medium,0.17,0.35,0.375,14,0
5000001905,16,Neo,5,>=1990,20-25,son,2nd,NA,Medium,0.17,0.35,0.375,NA,NA
5000001930,16,Matri,5,>=1990,20-25,daughter,1st,8,Medium,0.42,0.38,0.166666667,8,1
5000001982,16,Matri,5,>=1990,20-25,son,1st,12,Medium,0.35,0.33,0.1,12,1
5000001997,16,Patri,5,>=1990,20-25,daughter,1st,12,Medium,0.13,0.31,0.375,12,1
5000001997,16,Patri,5,>=1990,20-25,son,2nd,12,Medium,0.13,0.31,0.375,12,1
5000002040,29,Patri,5,>=1990,<20,daughter,1st,11,Medium,0.07,0.29,0.357142857,11,1
5000002040,29,Patri,5,>=1990,20-25,daughter,2nd,10,Medium,0.07,0.29,0.357142857,10,1
5000002040,29,Patri,5,>=1990,20-25,son,2nd,5,Medium,0.07,0.29,0.357142857,5,0
5000002042,16,Patri,5,1980-1989,>25,son,1st,6,Small,0.25,0.5,0.25,6,1
5000002119,12,Matri,5,1980-1989,20-25,son,1st,7,Big,0.42,0.38,0.166666667,7,1
5000002157,12,Matri,5,1980-1989,20-25,daughter,1st,9,Big,0.33,0.33,0.166666667,9,1
5000002195,12,Matri,5,>=1990,20-25,daughter,1st,6,Big,0.38,0.31,0.125,6,1
5000002195,12,Matri,5,>=1990,20-25,son,2nd,14,Big,0.38,0.31,0.125,14,0
5000002246,12,Matri,5,>=1990,20-25,daughter,1st,7,Big,0.38,0.31,0.125,7,1
5000002296,25,Neo,5,>=1990,<20,son,1st,2,Medium,0.38,0.38,0.125,2,1
5000002318,25,Patri,5,1980-1989,20-25,son,1st,7,Big,0.17,0.31,0.291666667,7,1
5000002464,25,Patri,5,1980-1989,20-25,daughter,1st,12,Big,0.17,0.38,0.416666667,12,1
5000002464,25,Patri,5,1980-1989,>25,son,2nd,1,Big,0.17,0.38,0.416666667,1,1
5000004216,16,Patri,5,>=1990,20-25,son,1st,8,Big,0.07,0.29,0.357142857,8,1
5000004391,18,Matri,5,>=1990,20-25,son,1st,8,Medium,0.36,0.29,0.071428571,8,1
5000004459,6,Matri,5,>=1990,20-25,daughter,1st,7,Medium,0.38,0.31,0.35,7,1
5000004459,6,Matri,5,>=1990,20-25,daughter,2nd,7,Medium,0.38,0.31,0.35,7,0
5000004527,22,Matri,5,<1980,>25,son,1st,5,Medium,0.2,0.4,0.2,5,1
5000004562,27,Patri,5,>=1990,20-25,son,1st,11,Medium,0.2,0.4,0.4,11,1
5000004562,27,Patri,5,>=1990,20-25,daughter,2nd,3,Medium,0.2,0.4,0.4,3,1
5000004573,27,Matri,5,>=1990,20-25,son,1st,8,Medium,0.38,0.38,0.125,8,1
5000004580,27,Patri,5,1980-1989,20-25,son,1st,6,Big,0.17,0.38,0.416666667,6,1
5000004580,27,Patri,5,1980-1989,20-25,daughter,2nd,9,Big,0.17,0.38,0.416666667,9,1
5000004702,17,Patri,5,>=1990,20-25,son,1st,10,Big,0.05,0.25,0.35,10,1
