ITID,Village,PMR,District,BirthPeriod,agecohort,Csex,order,AgeStopFeed,HSCAT,mother,kids,father,time,status
1000006078,28,Duo,1,>=1990,<20,daughter,2nd,2,Small,0.38,0.34,0,2,0
2000200021,33,Duo,2,>=1990,20-25,son,1st,16,Medium,0.3,0.45,0,16,0
2000200021,33,Duo,2,>=1990,20-25,daughter,2nd,12,Medium,0.3,0.45,0,12,1
2000200021,33,Duo,2,>=1990,>25,son,2nd,2,Medium,0.3,0.45,0,2,0
2000200037,33,Patri,2,>=1990,20-25,daughter,1st,4,Medium,0.33,0.5,0.416666667,4,1
2000200037,33,Patri,2,>=1990,20-25,son,2nd,18,Medium,0.33,0.5,0.416666667,18,0
2000200037,33,Patri,2,>=1990,20-25,daughter,2nd,15,Medium,0.33,0.5,0.416666667,15,0
2000200046,33,Neo,2,>=1990,20-25,son,1st,0,Big,0.38,0.5,0.333333333,0,1
2000200046,33,Neo,2,>=1990,20-25,son,2nd,24,Medium,0.38,0.5,0.333333333,24,0
2000200046,33,Neo,2,>=1990,20-25,son,2nd,12,Big,0.38,0.5,0.333333333,12,1
2000200046,33,Neo,2,>=1990,20-25,daughter,2nd,12,Big,0.38,0.5,0.333333333,12,1
2000200050,33,Duo,2,>=1990,20-25,daughter,1st,9,Big,0.38,0.34,0.125,9,1
2000200050,33,Duo,2,>=1990,20-25,daughter,2nd,7,Big,0.38,0.34,0.125,7,1
2000200050,33,Duo,2,>=1990,20-25,daughter,2nd,0,Big,0.38,0.34,0.125,0,0
2000200050,33,Duo,2,>=1990,>25,son,2nd,0,Big,0.38,0.34,0.125,0,0
2000200076,33,Duo,2,>=1990,20-25,daughter,1st,28,Medium,0.38,0.5,0.25,24,0
2000200076,33,Duo,2,>=1990,20-25,daughter,2nd,18,Medium,0.38,0.5,0.25,18,0
2000200076,33,Duo,2,>=1990,20-25,son,2nd,12,Medium,0.38,0.5,0.25,12,1
2000200081,33,Patri,2,>=1990,20-25,daughter,2nd,4,Small,0.33,0.5,0.416666667,4,1
2000200081,33,Patri,2,>=1990,20-25,son,2nd,0,Small,0.33,0.5,0.416666667,0,0
2000200088,33,Duo,2,>=1990,20-25,son,2nd,24,Small,0.5,0.5,0,24,1
2000200088,33,Duo,2,>=1990,20-25,daughter,2nd,24,Small,0.5,0.5,0,24,1
2000200092,33,Patri,2,<1980,>25,son,2nd,8,Medium,0.38,0.5,0.333333333,8,1
2000200112,33,Neo,2,>=1990,20-25,daughter,1st,12,Small,0.33,0.5,0.25,12,1
2000200112,33,Neo,2,>=1990,20-25,son,2nd,,Small,0.33,0.5,0.25,,
2000200157,33,Duo,2,1980-1989,>25,son,1st,24,Medium,0.38,0.44,0.166666667,24,0
2000200157,33,Duo,2,1980-1989,>25,son,2nd,24,Medium,0.38,0.44,0.166666667,24,0
2000200157,33,Duo,2,1980-1989,>25,daughter,2nd,24,Medium,0.38,0.44,0.166666667,24,0
2000200222,34,Duo,2,1980-1989,>25,daughter,2nd,24,Medium,0.38,0.5,0.25,24,0
2000200267,34,Duo,2,>=1990,20-25,son,1st,12,Medium,0.07,0.3,0.333333333,12,1
2000200298,34,Patri,2,<1980,>25,son,1st,48,Medium,0.25,0.5,0.25,24,0
2000200325,34,Patri,2,1980-1989,20-25,daughter,1st,15,Medium,0.25,0.44,0.25,15,1
2000200350,34,Patri,2,1980-1989,>25,son,2nd,48,Medium,0.38,0.5,0.25,24,0
2000200420,35,Duo,2,1980-1989,>25,daughter,2nd,10,Medium,0.38,0.5,0.333333333,10,1
2000200441,35,Duo,2,>=1990,<20,son,1st,30,Big,0.33,0.5,0.25,24,0
2000200441,35,Duo,2,>=1990,20-25,daughter,2nd,30,Big,0.33,0.5,0.25,24,0
2000200645,39,Neo,2,>=1990,20-25,son,1st,12,Medium,0.38,0.5,0.25,12,1
2000200645,39,Neo,2,>=1990,20-25,daughter,2nd,12,Medium,0.38,0.5,0.25,12,1
2000200645,39,Neo,2,>=1990,>25,daughter,2nd,9,Medium,0.38,0.5,0.25,9,1
2000200652,39,Duo,2,>=1990,20-25,son,1st,12,Big,0.2,0.4,0.375,12,1
2000200652,39,Duo,2,>=1990,20-25,son,2nd,12,Big,0.2,0.4,0.375,12,1
2000200728,39,Patri,2,<1980,>25,son,2nd,6,Medium,0.35,0.5,0,6,1
2000200743,39,Duo,2,>=1990,20-25,daughter,1st,10,Medium,0.14,0.32,0.3125,10,1
2000200743,39,Duo,2,>=1990,20-25,son,2nd,15,Medium,0.14,0.32,0.3125,15,1
2000200800,39,Neo,2,1980-1989,20-25,son,1st,24,Medium,0.38,0.5,0.375,24,1
2000200800,39,Neo,2,1980-1989,>25,son,2nd,18,Medium,0.38,0.5,0.375,18,1
2000200817,39,Patri,2,1980-1989,>25,daughter,1st,12,Medium,0.13,0.38,0.416666667,12,1
2000200900,40,Matri,2,>=1990,<20,daughter,1st,18,Medium,0.14,0.34,0.333333333,18,0
2000200900,40,Matri,2,>=1990,<20,son,2nd,24,Medium,0.14,0.34,0.333333333,24,0
2000200908,40,Matri,2,>=1990,20-25,son,1st,13,Medium,0.2,0.4,0.333333333,13,0
2000200908,40,Matri,2,>=1990,20-25,daughter,2nd,11,Medium,0.2,0.4,0.333333333,11,1
2000200918,40,Matri,2,>=1990,20-25,daughter,1st,12,Medium,0.08,0.33,0.333333333,12,1
